Loopback12,Loopback1 Interface,22.22.22.22/32,No Origin,Loopback,True,up,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,8000000,1514,5000,loopback,N/A,N/A,N/A,N/A,N/A,False,0,0,0,N/A,0,0,N/A,N/A,0,N/A,N/A,0,0,0
Loopback11,Loopback1 Interface,11.11.11.11/32,No Origin,Loopback,True,up,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,8000000,1514,5000,loopback,N/A,N/A,N/A,N/A,N/A,False,0,0,0,N/A,0,0,N/A,N/A,0,N/A,N/A,0,0,0
Loopback10,Loopback1 Interface,10.10.10.10/32,No Origin,Loopback,True,up,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,8000000,1514,5000,loopback,N/A,N/A,N/A,N/A,N/A,False,0,0,0,N/A,0,0,N/A,N/A,0,N/A,N/A,0,0,0
GigabitEthernet0/4.1000,sp-VzB bw-5000M ty-INET id-W0Z161616 loc-CWD,168.10.129.1/30,No Origin,iGbE,True,up,000c.29b9.8631,000c.29b9.8631,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GigabitEthernet0/3,CORE_UPLINK,10.42.11.10/28,No Origin,iGbE,True,down,000c.29b9.8627,000c.29b9.8627,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,N/A,N/A,0,N/A,N/A,0,0,0
Loopback0,No Description,12.12.12.12/32,No Origin,Loopback,True,up,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,8000000,1514,5000,loopback,N/A,N/A,N/A,N/A,N/A,False,0,0,0,N/A,0,0,N/A,N/A,0,N/A,N/A,0,0,0
GigabitEthernet0/5.1301,No Description,N/A,N/A,iGbE,True,down,000c.29b9.863b,000c.29b9.863b,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GigabitEthernet0/5.1201,No Description,N/A,N/A,iGbE,True,down,000c.29b9.863b,000c.29b9.863b,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GigabitEthernet0/5.1200,No Description,N/A,N/A,iGbE,True,down,000c.29b9.863b,000c.29b9.863b,False,N/A,N/A,N/A,N/A,X,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GigabitEthernet0/5.200,No Description,192.168.200.200/23,No Origin,iGbE,True,down,000c.29b9.863b,000c.29b9.863b,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GigabitEthernet0/5.199,No Description,192.168.199.199/24,No Origin,iGbE,True,down,000c.29b9.863b,000c.29b9.863b,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,dot1q,N/A,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
